model,purpose,sharpe,sortino,calmar,max_dd,dd_duration,hit_rate,profit_factor,ann_return,ann_vol,n_obs,gross_sharpe,cost_drag
buy_hold,Did you beat doing nothing?,0.7822653740582628,0.8955280974502589,0.37240031358664116,-0.3574588183981141,267,0.5573709617526922,1.1659802323015043,0.1331177760657679,0.1701695875597497,2693,,
zero,Is there any signal?,0.0,0.0,0.0,0.0,0,0.0029706646862235424,0.0,0.0,0.0,2693,,
arima_garch,Classical econometrics benchmark,0.4970162274441576,0.5540752891724182,0.1905099163124623,-0.0004461146782482883,531,0.5395469736353509,1.1504939818897115,8.498927001884246e-05,0.0001709989841898904,2693,,
dlinear,Linear model that embarrasses Transformers,0.48847325262532965,0.5445082997242465,0.3132861737066354,-0.016316620380715352,1368,0.5250649832900112,1.1544609110847825,0.0051117715668980174,0.010464793188622892,2693,,
lightgbm,Trees usually win on tabular finance,0.1985534323115107,0.2732991992920986,0.0885598234037184,-0.012244822041810433,1806,0.4760490159673227,1.0587104468936537,0.0010843992776326905,0.005461498524645876,2693,,
transformer_no_regime,KEY CONTROL,0.40989216092817515,0.40523091594816124,0.15489119297332274,-0.1802029986656497,369,0.5395469736353509,1.132522640581451,0.027911857440692567,0.06809561172745514,2693,,
transformer_film,THESIS,0.29021041571940936,0.28791686491435675,0.10984997924438306,-0.176021706071966,491,0.5551429632380245,1.0876417716905449,0.019335980758566358,0.06662745274194913,2693,,
transformer_hard_switch,Soft vs hard conditioning,-0.06031757458184384,-0.06690889676900812,-0.022986487988666076,-0.13271337147291373,2121,0.5079836613442258,0.9857175099078027,-0.0030506143192975104,0.0505758784308906,2693,,
